summary,start,end,categories,description,zones
Appel du 18 juin 1940 — Anniversaire,2001-06-18,,Mémoire|Dates spéciales,"Le 18 juin 1940, de Gaulle lance depuis Londres un appel à la Résistance sur la BBC.",
Début de l'Été — Solstice d'été,2001-06-21,,Saisons|Astronomie,Le solstice d'été est le jour le plus long de l'année.,
Fête de la Musique,2001-06-21,,Culture|Fêtes,Créée en 1982 par le ministre Jack Lang.,
Jour le plus long de l'année,2001-06-21,,Saisons|Astronomie,Le 21 June est le jour le plus long de l'année 2001.,
Nouvelle Lune,2001-06-21,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Fête du Cinéma,2001-06-24,,Culture|Cinéma,"Créée en 1985, elle propose chaque fin juin des places à tarif réduit.",
Premier Quartier,2001-06-28,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Milieu de l'année,2001-07-02,,Dates spéciales,Ce jour marque le point médian exact de l'année 2001.,
Festival d'Avignon — Ouverture,2001-07-05,,Culture|Théâtre,Créé par Jean Vilar en 1947 dans la cour du Palais des Papes.,
Pleine Lune,2001-07-05,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Commémoration de la Rafle du Vél d'Hiv,2001-07-08,,Mémoire|Société,"Les 16-17 juillet 1942, la police française arrêta 13 152 Juifs à Paris.",
Dernier Quartier,2001-07-13,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Fête Nationale,2001-07-14,,Jours fériés|Société|Dates spéciales,Commémore la prise de la Bastille le 14 juillet 1789.,
Fête nationale,2001-07-14,,Jours fériés,"Commémore la prise de la Bastille le 14 juillet 1789, symbole de la Révolution française. Jour férié depuis 1880. Défilé militaire sur les Champs-Élysées, bals des pompiers et feux d'artifice dans toute la France.",
Nouvelle Lune,2001-07-20,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2001-07-27,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Nuit des Étoiles,2001-08-04,,Astronomie|Éducation|Culture,Organisée chaque premier week-end d'août par l'Association Française d'Astronomie depuis 1991.,
Pleine Lune,2001-08-04,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Dernier Quartier,2001-08-12,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Assomption,2001-08-15,,Jours fériés,"Célèbre l'élévation de la Vierge Marie au ciel. Fête chrétienne ancienne, jour férié en France depuis le Concordat de 1802. Elle tombe en plein cœur de l'été, au milieu des grandes vacances.",
Assomption de Marie,2001-08-15,,Christianisme|Jours fériés,Célèbre l'élévation de la Vierge Marie au ciel.,
Nouvelle Lune,2001-08-19,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2001-08-25,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Braderie de Lille,2001-09-01,,Culture|Commerce,"Plus grande braderie d'Europe, organisée le premier week-end de septembre à Lille.",
Pleine Lune,2001-09-02,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Rentrée des classes,2001-09-02,,Éducation|Société,La rentrée de septembre mobilise 12 millions d'élèves et 870 000 enseignants en France.,
Dernier Quartier,2001-09-10,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journées du Patrimoine,2001-09-15,,Culture|Société,"Créées en France en 1984 par Jack Lang, étendues à toute l'Europe en 1991.",
Nouvelle Lune,2001-09-17,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Début de l'Automne — Équinoxe d'automne,2001-09-22,,Saisons|Astronomie,L'équinoxe d'automne marque le début de l'automne.,
Journée mondiale sans voiture,2001-09-22,,Environnement|Société,Lancée en France en 1998 par La Rochelle.,
Premier Quartier,2001-09-24,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Journée mondiale du cacao et du chocolat,2001-10-01,,Gastronomie|Culture,Célébrée le 1er octobre et associée à l'Organisation internationale du cacao (ICCO).,
Lancement d'Octobre Rose,2001-10-01,,Santé,Tout octobre est dédié à la sensibilisation au cancer du sein.,
Pleine Lune,2001-10-02,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Nuit Blanche,2001-10-06,,Culture,Initiée à Paris en 2002 par le maire Bertrand Delanoë.,
Fête des Grands-Pères,2001-10-07,,Fêtes|Culture,"Créée en 2008, elle a lieu chaque premier dimanche d'octobre.",
Semaine du Goût,2001-10-08,,Gastronomie|Culture,Créée en 1990 par le chef Joël Robuchon.,
Dernier Quartier,2001-10-10,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journée mondiale de la santé mentale,2001-10-10,,Santé|Société,Créée par la Fédération Mondiale pour la Santé Mentale en 1992.,
Journée mondiale de l'alimentation,2001-10-16,,Gastronomie|Société|Santé,Commémore la fondation de la FAO le 16 octobre 1945.,
Nouvelle Lune,2001-10-16,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2001-10-24,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Passage à l'heure d'hiver,2001-10-28,,Changement d'heure,"Dans la nuit du samedi au dimanche, les montres reculent d'une heure (3h → 2h).",
Halloween,2001-10-31,,Culture|Fêtes,Fête d'origine celtique (la nuit de Samain) christianisée puis popularisée par la diaspora irlandaise.,
Journée nationale de l'arbre,2001-11-01,,Environnement,Célébrée chaque premier jeudi de novembre.,
Lancement du Mois sans Tabac,2001-11-01,,Santé,Lancé en France en 2016 par Santé Publique France.,
Pleine Lune,2001-11-01,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Toussaint,2001-11-01,,Jours fériés|Christianisme,"Fête de tous les saints, instituée par le pape Grégoire IV en 835. En France, la tradition de fleurir les tombes avec des chrysanthèmes s'est greffée dessus — ces fleurs sont désormais intimement liées à ce jour.",
Pont possible — Toussaint,2001-11-02,,Ponts / Congés,Toussaint tombe un jeudi le 01/11/2001. Le vendredi 02/11/2001 est un pont potentiel — vérifiez auprès de votre employeur.,
Dernier Quartier,2001-11-08,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Armistice 1918,2001-11-11,,Jours fériés,"Le 11 novembre 1918 à 11h, l'armistice met fin à la Première Guerre mondiale après quatre ans de combats. Jour férié depuis 1922. Chaque commune française a son monument aux morts — 36 000 érigés entre 1920 et 1925.",
Armistice de 1918 — Journée du Souvenir,2001-11-11,,Jours fériés|Mémoire|Dates spéciales,"Le 11 novembre 1918 à 11h, l'armistice met fin à la Première Guerre mondiale.",
Beaujolais Nouveau,2001-11-15,,Gastronomie|Culture|Commercial,"Chaque troisième jeudi de novembre, le Beaujolais Nouveau est mis en vente.",
Nouvelle Lune,2001-11-15,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Journée internationale des droits de l'enfant,2001-11-20,,Société,Commémore l'adoption de la Convention des Nations Unies relative aux droits de l'enfant.,
Premier Quartier,2001-11-23,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Fête de la Bretagne,2001-11-30,,Culture|Société,Célébrée le 30 novembre (Saint-André) depuis les années 1990.,
Pleine Lune,2001-11-30,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journée mondiale des personnes handicapées,2001-12-03,,Société,Instaurée par l'ONU en 1992.,
Journée mondiale du Bénévolat,2001-12-05,,Société,Créée par l'ONU en 1985.,
Saint-Nicolas,2001-12-06,,Christianisme|Culture|Fêtes,"Fête de Nicolas de Myre, évêque du IVe siècle devenu patron des enfants.",
Dernier Quartier,2001-12-07,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journée de la Laïcité,2001-12-09,,Société|Dates spéciales,Commémore la loi du 9 décembre 1905 séparant les Églises de l'État.,
Nouvelle Lune,2001-12-14,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Début de l'Hiver — Solstice d'hiver,2001-12-21,,Saisons|Astronomie,Le solstice d'hiver est le jour le plus court de l'année.,
Jour le plus court de l'année,2001-12-21,,Saisons|Astronomie,Le 21 December est le jour le plus court de l'année 2001.,
Premier Quartier,2001-12-22,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pont possible — Noël,2001-12-24,,Ponts / Congés,Noël tombe un mardi le 25/12/2001. Le lundi 24/12/2001 est un pont potentiel — vérifiez auprès de votre employeur.,
Noël,2001-12-25,,Jours fériés|Christianisme|Fêtes,"Célèbre la naissance du Christ. La date du 25 décembre a été fixée au IVe siècle sur une fête solaire romaine préexistante. Le sapin, la bûche et les cadeaux sont des traditions popularisées bien plus tard, au XIXe siècle.",
Saint-Étienne,2001-12-26,,Jours fériés|Christianisme,"Le 26 décembre est férié uniquement en Alsace-Moselle (depts 57, 67, 68). Fête de saint Étienne, premier martyr chrétien.",AM
Pleine Lune,2001-12-30,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Dernier jour de l'année,2001-12-31,,Dates spéciales,Clôture de l'année civile 2001.,
Pont possible — Jour de l'an,2001-12-31,,Ponts / Congés,Jour de l'an tombe un mardi le 01/01/2002. Le lundi 31/12/2001 est un pont potentiel — vérifiez auprès de votre employeur.,
Saint-Sylvestre / Réveillon du Nouvel An,2001-12-31,,Fêtes|Culture,"Dernier jour de l'année, nommé d'après le pape Sylvestre Ier mort ce jour en 335.",
Jour de l'an,2002-01-01,,Jours fériés,Premier jour de l'année civile grégorienne. La tradition des vœux existe depuis l'Antiquité romaine. Le gui porte-bonheur vient d'une coutume druidique bien antérieure au christianisme.,
Dernier Quartier,2002-01-06,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Épiphanie,2002-01-06,,Christianisme|Culture|Gastronomie,"Célèbre la visite des Rois Mages à Jésus, 12 jours après Noël.",
Nouvelle Lune,2002-01-13,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2002-01-21,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Journée internationale de l'Éducation,2002-01-24,,Éducation|Société,Proclamée par l'ONU en 2019.,
Journée nationale de la Mémoire de la Shoah,2002-01-27,,Mémoire|Société,Commémore la libération du camp d'Auschwitz le 27 janvier 1945.,
Pleine Lune,2002-01-28,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Chandeleur,2002-02-02,,Culture|Christianisme|Gastronomie,"Fête de la Présentation de Jésus au Temple, 40 jours après Noël.",
Journée mondiale des zones humides,2002-02-02,,Environnement,Commémore la Convention de Ramsar signée le 2 février 1971.,
Dernier Quartier,2002-02-04,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journée mondiale contre le cancer,2002-02-04,,Santé,Initiée par l'Union Internationale Contre le Cancer depuis 2000.,
Mardi Gras,2002-02-12,,Christianisme|Culture|Fêtes,"Dernier jour avant le Carême, où la tradition voulait qu'on fasse bombance avant l'abstinence.",
Nouvelle Lune,2002-02-12,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Début du Carême,2002-02-13,,Christianisme,"Le Carême commence le Mercredi des Cendres, 46 jours avant Pâques.",
Saint-Valentin,2002-02-14,,Fêtes|Culture,Fête des amoureux le 14 février.,
Date palindrome,2002-02-20,,Dates spéciales,La date du 20/02/2002 se lit de la même façon dans les deux sens (20022002).,
Premier Quartier,2002-02-20,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Salon de l'Agriculture — Ouverture,2002-02-23,,Gastronomie|Agriculture|Culture,Le Salon International de l'Agriculture se tient chaque fin février à Paris.,
Pleine Lune,2002-02-27,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Fête des Grands-Mères,2002-03-03,,Fêtes|Culture,Créée en 1987 par la marque de café Grand'Mère.,
Dernier Quartier,2002-03-06,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journée internationale des femmes,2002-03-08,,Société,Issue des luttes ouvrières du début du XXe siècle en Europe et aux États-Unis.,
Nouvelle Lune,2002-03-14,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Saint-Patrick,2002-03-17,,Culture|Fêtes,"Fête nationale irlandaise le 17 mars, commémorant la mort de saint Patrick (461).",
Début du Printemps — Équinoxe de printemps,2002-03-20,,Saisons|Astronomie,L'équinoxe de printemps marque le début astronomique du printemps.,
Journée nationale de lutte contre les discriminations,2002-03-21,,Société,Créée par l'ONU en 1966 en mémoire du massacre de Sharpeville.,
Journée mondiale de l'eau,2002-03-22,,Environnement|Société,Proclamée par l'ONU en 1993.,
Premier Quartier,2002-03-22,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Dimanche des Rameaux,2002-03-24,,Christianisme,Ouvre la Semaine Sainte en rappelant l'entrée triomphale de Jésus à Jérusalem.,
Pleine Lune,2002-03-28,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Vendredi Saint,2002-03-29,,Jours fériés|Christianisme,"Commémore la crucifixion du Christ. Jour férié uniquement en Alsace-Moselle (départements 57, 67, 68) en vertu du régime concordataire.",AM
Vendredi Saint,2002-03-29,,Christianisme,Commémore la crucifixion du Christ. Non férié en France depuis la loi de 1905 — sauf en Alsace-Moselle.,
Passage à l'heure d'été,2002-03-31,,Changement d'heure,"Dans la nuit du samedi au dimanche, les montres avancent d'une heure (2h → 3h).",
Pâques,2002-03-31,,Christianisme,Fête chrétienne célébrant la résurrection du Christ. Sa date varie chaque année car elle suit le calendrier lunaire.,
Lundi de Pâques,2002-04-01,,Jours fériés|Christianisme,"Jour férié qui prolonge le dimanche de Pâques. La tradition des œufs vient du Carême : l'Église interdisait d'en manger pendant 40 jours, on offrait donc à Pâques ceux accumulés.",
Poisson d'avril,2002-04-01,,Culture,Journée des farces et des canulars.,
Dernier Quartier,2002-04-04,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
